file_name,n_intervals,mean_RR,std_RR,n_windows,ApEn,SampEn,Shannon
chf201.txt_N.txt,112065,738.1365,75.1213,93,1.0416,1.0209,2.6874
chf202.txt_N.txt,108789,674.9904,84.37,90,1.3547,1.5276,2.6247
chf203.txt_N.txt,98410,752.9011,37.7534,82,1.2352,1.2219,2.3452
chf204.txt_N.txt,94426,752.1246,52.3221,78,1.2511,1.3653,2.6035
chf205.txt_N.txt,132231,578.5275,30.0442,110,1.4029,1.4024,2.0311
chf206.txt_N.txt,122851,563.0747,23.8475,102,1.196,1.1118,1.717
chf207.txt_N.txt,80017,627.1965,63.9942,66,1.1629,1.139,2.3719
chf208.txt_N.txt,102403,790.9062,42.7008,85,1.3926,1.4855,2.3042
chf209.txt_N.txt,108313,618.2166,20.2008,90,1.1341,1.0425,1.6069
chf210.txt_N.txt,137603,575.9888,23.6433,114,1.3787,1.3906,2.0338
chf211.txt_N.txt,127311,667.588,102.0345,106,1.0525,0.9929,2.7358
chf212.txt_N.txt,96351,548.4497,52.8394,80,1.4896,1.6402,2.2966
chf213.txt_N.txt,84646,850.9042,150.2408,70,1.0908,1.0742,2.7417
chf214.txt_N.txt,53536,18739.6605,1648.3142,44,0.0011,0.0018,0.0164
chf215.txt_N.txt,136214,555.4031,27.788,113,1.2984,1.2655,1.9395
chf216.txt_N.txt,101703,771.877,67.1508,84,1.2134,1.2779,2.6485
chf217.txt_N.txt,104914,786.0259,156.0564,87,1.0895,1.1158,2.7032
chf218.txt_N.txt,100643,721.6314,108.6046,83,1.1013,1.1428,2.6328
chf219.txt_N.txt,90491,871.8904,124.0387,75,1.1895,1.2495,2.7243
chf220.txt_N.txt,136415,609.4516,48.0634,113,1.1393,1.1144,2.4813
chf221.txt_N.txt,90338,742.6193,191.6152,75,1.1083,0.9819,2.6957
chf222.txt_N.txt,96605,771.8439,71.8279,80,1.1097,1.1193,2.4888
chf223.txt_N.txt,102645,721.1923,69.3948,85,1.1773,1.2154,2.4319
chf224.txt_N.txt,134066,636.5167,76.9903,111,1.2491,1.291,2.4757
chf225.txt_N.txt,91207,690.5811,49.2827,76,1.208,1.2277,2.4566
chf226.txt_N.txt,128016,624.8544,60.9351,106,1.0002,0.9175,1.9373
chf227.txt_N.txt,95808,768.28,80.5448,79,1.2718,1.3636,2.4261
chf228.txt_N.txt,116120,689.3012,71.445,96,1.2471,1.381,2.5114
chf229.txt_N.txt,123360,653.8946,90.5464,102,1.341,1.5038,2.7047
