file_name,n_intervals,mean_RR,std_RR,n_windows,ApEn,SampEn,Shannon
nsr001.txt_N.txt,106297,759.84,167.6786,88,1.1016,1.0952,2.6863
nsr002.txt_N.txt,110866,754.5484,128.7988,92,1.0211,0.9838,2.6886
nsr003.txt_N.txt,97223,866.5533,101.1651,81,1.2699,1.3525,2.7078
nsr004.txt_N.txt,97741,850.7513,172.351,81,1.1272,1.1405,2.7228
nsr005.txt_N.txt,115659,733.9527,218.532,96,1.0469,1.0436,2.6233
nsr006.txt_N.txt,102556,807.2902,165.6814,85,1.0939,1.1046,2.678
nsr007.txt_N.txt,106590,789.87,98.4691,88,1.1968,1.2842,2.5716
nsr008.txt_N.txt,107600,795.7772,143.9929,89,1.0651,1.0303,2.7198
nsr009.txt_N.txt,102798,831.5724,162.972,85,1.0857,1.0074,2.6509
nsr010.txt_N.txt,95840,855.0277,184.8737,79,1.0353,0.9917,2.7682
nsr011.txt_N.txt,115615,737.582,117.4618,96,1.2665,1.4437,2.6434
nsr012.txt_N.txt,98824,868.4927,169.5466,82,0.9916,0.9948,2.6255
nsr013.txt_N.txt,115685,729.0546,152.9477,96,1.2311,1.3193,2.652
nsr014.txt_N.txt,111293,763.4921,142.4365,92,1.244,1.171,2.7443
nsr015.txt_N.txt,101016,793.1014,99.4042,84,1.2934,1.4238,2.5858
nsr016.txt_N.txt,94925,780.231,111.6847,79,1.0654,1.1164,2.6755
nsr017.txt_N.txt,99031,850.9911,151.1482,82,1.1822,1.1706,2.7355
nsr018.txt_N.txt,106935,776.0932,127.4322,89,1.1862,1.2455,2.7418
nsr019.txt_N.txt,122738,700.0063,116.9257,102,1.2159,1.3066,2.6061
nsr020.txt_N.txt,136188,613.1133,100.694,113,1.2533,1.3544,2.6887
nsr021.txt_N.txt,103850,827.6092,135.6273,86,1.2148,1.2578,2.6909
nsr022.txt_N.txt,81604,1038.0035,123.3169,68,1.2602,1.3365,2.7701
nsr023.txt_N.txt,111977,767.2582,112.8154,93,1.1276,1.2178,2.6615
nsr024.txt_N.txt,85057,829.5034,243.4037,70,1.1352,1.0504,2.7313
nsr025.txt_N.txt,127929,654.4043,89.0435,106,1.2825,1.3726,2.66
nsr026.txt_N.txt,116297,737.5039,144.6929,96,1.0533,1.0726,2.5835
nsr027.txt_N.txt,112854,740.0106,154.8398,94,0.9276,0.9365,2.6542
nsr028.txt_N.txt,107763,785.438,128.7172,89,1.1006,1.0949,2.7665
nsr029.txt_N.txt,116779,685.5002,158.7892,97,0.9657,0.8972,2.6805
nsr030.txt_N.txt,104859,801.4125,141.2322,87,1.0249,1.0094,2.631
nsr031.txt_N.txt,109345,734.7803,116.8957,91,1.0449,0.9805,2.7315
nsr032.txt_N.txt,101637,811.5601,124.5786,84,0.9715,0.9918,2.5698
nsr033.txt_N.txt,76894,1031.8521,158.9788,64,1.0575,1.0153,2.7345
nsr034.txt_N.txt,97784,844.6165,154.7029,81,1.0079,0.9714,2.6458
nsr035.txt_N.txt,117832,719.1629,103.7014,98,1.2643,1.3636,2.6392
nsr036.txt_N.txt,113599,724.3519,101.9106,94,1.1657,1.1531,2.6109
nsr037.txt_N.txt,93424,875.6287,150.2232,77,1.1105,1.1472,2.5994
nsr038.txt_N.txt,101987,731.2463,140.0605,84,1.1809,1.2179,2.7125
nsr039.txt_N.txt,98688,836.1992,109.1557,82,1.0494,1.0841,2.582
nsr040.txt_N.txt,117609,720.5027,118.9549,98,1.2041,1.2745,2.6073
nsr041.txt_N.txt,102188,758.5113,86.0394,85,1.2798,1.3776,2.5718
nsr042.txt_N.txt,108072,791.9687,129.1794,90,0.986,0.9376,2.6362
nsr043.txt_N.txt,102839,768.0273,135.6451,85,1.0441,1.0202,2.5748
nsr044.txt_N.txt,100776,740.3313,129.6227,83,1.2364,1.3093,2.6882
nsr045.txt_N.txt,93887,824.5864,130.5833,78,1.3365,1.4337,2.7394
nsr046.txt_N.txt,94650,861.281,169.5664,78,1.0709,1.0863,2.6996
nsr047.txt_N.txt,112873,760.3275,130.4244,94,1.1202,1.0821,2.7101
nsr048.txt_N.txt,116412,719.6637,138.4251,97,1.0224,0.946,2.7577
nsr049.txt_N.txt,103247,813.7297,136.4316,86,1.1394,1.1108,2.7742
nsr050.txt_N.txt,126937,1820.4227,641.852,105,0.2491,0.2324,0.6923
nsr051.txt_N.txt,106538,788.1469,176.9188,88,1.1825,1.1512,2.6356
nsr052.txt_N.txt,118796,687.6214,150.5227,98,0.9559,0.9052,2.7012
nsr053.txt_N.txt,98730,819.0823,159.4716,82,1.1448,1.1066,2.7365
nsr054.txt_N.txt,119988,688.2198,140.7738,99,1.1002,1.0658,2.7381
